Control ID,Control Name,Control Description,Azure Services,Azure Implementation,Evidence Types,Status,Owner,Implementation Notes,Testing Method,Frequency
A.5.1,Policies for information security,Establish information security policies covering organization's approach to managing information security,Azure Policy; Compliance Manager,Information security policy framework implemented through Azure Policy governance; documented and approved by management; communicated organization-wide,Policy documents; Policy assignment reports; Management approval records; Training completion records,Implemented,CISO,Policy published on corporate intranet with quarterly reviews; integrated with Azure governance framework,Document review; Policy interviews; Management attestation,Annual
A.5.2,Information security roles and responsibilities,Allocate and communicate information security responsibilities,Azure RBAC; Microsoft 365 Admin Center,Information security roles defined using Azure RBAC custom roles; responsibilities documented in RACI matrix; regular access reviews conducted,RACI matrix; Job descriptions; Azure RBAC assignments; Access review reports,Implemented,CISO,Roles mapped to Azure built-in and custom roles; documented in organizational chart,Role-based access testing; Interview key personnel,Semi-annual
A.5.3,Segregation of duties,Segregate conflicting duties to reduce risk of unauthorized or unintentional modification,Azure RBAC; Azure Policy,Segregation of duties implemented through Azure RBAC role assignments; conflicts identified and mitigated through policy controls,SoD matrix; RBAC configuration; Policy assignments; Exception approvals,Implemented,IAM,Automated SoD conflict detection using Azure tools; documented exceptions with approvals,SoD matrix analysis; Access testing; Control walkthrough,Quarterly
A.5.4,Management responsibilities,Establish management direction and support for information security,Azure Security Center; Compliance Manager,Management commitment demonstrated through resource allocation; security governance committee established; regular security reporting to executives,Executive meeting minutes; Budget allocations; Governance charter; Security dashboard reports,Implemented,CISO,Monthly security board meetings; quarterly executive reports; annual security budget review,Management interviews; Meeting minutes review; Budget analysis,Quarterly
A.5.5,Contact with authorities,Establish appropriate contacts with law enforcement and regulatory bodies,Microsoft Security Response Center; Azure incident response,Contacts established with relevant authorities; incident escalation procedures documented; regular relationship maintenance,Contact lists; Escalation procedures; Communication logs; Relationship review records,Implemented,Legal,Documented contacts with local law enforcement and regulatory bodies; tested annually,Contact verification; Procedure review; Communication testing,Annual
A.5.6,Contact with special interest groups,Establish contacts with security specialists and professional associations,Microsoft Security Community; Azure Advisory Groups,Participation in security groups and forums; threat intelligence sharing; professional development programs,Membership records; Conference attendance; Threat intelligence reports; Professional certifications,Implemented,SecOps,Active participation in Azure security community; regular threat intelligence updates,Membership verification; Attendance records review; Intelligence quality assessment,Semi-annual
A.5.7,Threat intelligence,Collect and analyze threat intelligence information,Microsoft Defender Threat Intelligence; Azure Sentinel,Threat intelligence integrated into security operations; automated feed integration; regular threat landscape assessments,Threat intelligence reports; Feed configurations; Security briefings; Incident correlation reports,Implemented,SecOps,Microsoft threat intelligence feeds integrated; weekly threat briefings conducted,Intelligence feed testing; Briefing content review; Correlation analysis,Monthly
A.5.8,Information security in project management,Integrate information security into project management methodology,Azure DevOps; Project management tools,Security requirements integrated into project lifecycle; security reviews at key milestones; risk assessments conducted,Project security plans; Security review records; Risk assessments; Gate review approvals,Implemented,PMO,Security checkpoints built into project templates; automated security scanning in DevOps pipelines,Project review; Security checkpoint testing; Risk assessment validation,Per project
A.5.9,Inventory of information and other assets,Maintain inventory of information assets and assign ownership,Azure Resource Graph; Asset management tools,Comprehensive asset inventory using Azure Resource Graph; automated discovery and tagging; ownership assignment,Asset inventory reports; Resource tags; Ownership assignments; Discovery scan results,Implemented,IT Ops,Automated asset discovery using Azure Resource Graph; quarterly ownership validation,Inventory accuracy testing; Tag compliance verification; Ownership confirmation,Quarterly
A.5.10,Acceptable use of information and other assets,Establish rules for acceptable use of information and assets,Azure Policy; Endpoint DLP; Compliance policies,Acceptable use policies implemented through technical controls; user training and acknowledgment; monitoring and enforcement,AUP documents; Training records; Policy violations; Technical control configurations,Implemented,HR,AUP integrated with onboarding process; technical enforcement through Azure Policy,Policy compliance testing; User training assessment; Violation monitoring,Annual
